SalePrice;LotArea;BedroomAbvGr;FullBath;GarageCars
52000;383.68939;2;1;0
102776;809.370936;2;1;1
189000;433.949913;2;2;2
129000;917.231319;3;1;2
130500;1255.769851;3;2;2
165000;942.03642;3;2;2
159500;1003.3524;3;1;2
157000;929.03;3;1;2
341000;979.383426;3;2;3
128500;921.59776;3;1;1
275000;609.722389;2;2;2
143000;411.188678;1;1;2
124500;754.37236;3;1;2
135000;759.203316;4;2;1
320000;1234.309258;3;2;3
120500;646.60488;3;1;2
222000;2015.530585;3;2;2
194500;679.492542;2;2;2
110000;1066.061925;4;2;3
103000;579.7147199999999;2;1;2
236500;500.654267;2;2;2
187500;890.93977;3;2;2
222500;1059.465812;3;2;2
131400;929.03;3;1;1
108000;834.083134;3;1;1
163000;1003.3524;2;1;2
93500;793.763232;2;2;2
239900;972.044089;3;2;3
179000;1003.3524;3;3;0
190000;865.205639;3;2;2
132000;891.8688;2;2;2
142000;628.767504;3;1;1
179000;785.03035;3;2;2
175000;1197.148058;3;2;2
180000;501.211685;2;2;2
299800;832.689589;4;3;2
236000;817.0818849999999;4;2;2
265979;1086.9651;4;1;4
260400;984.121479;3;2;2
98000;780.849715;4;2;1
96500;817.5464;3;1;0
162000;719.99825;3;2;2
217000;858.052108;3;2;2
275500;951.32672;3;2;3
156000;736.72079;3;1;2
172500;300.07669;3;2;2
212000;1000.472407;3;2;2
158900;1079.161248;3;2;2
179400;211.81884;3;2;2
290000;1138.712071;4;2;3
127500;845.4173;2;1;1
100000;642.052633;2;1;2
215200;802.68192;3;2;2
337000;876.07529;3;2;3
270000;887.130747;2;1;2
264132;1355.176061;2;2;2
196500;968.142163;3;2;2
160000;1162.030724;4;2;1
216837;845.4173;3;2;2
538000;4970.682112;4;3;3
134900;673.732556;2;1;2
102000;824.699931;2;1;2
107000;726.408557;3;1;2
114500;942.96545;2;1;1
395000;1321.638078;3;2;3
162000;418.0635;2;2;2
221500;1041.44263;3;2;3
142500;1240.25505;3;1;2
144000;780.3851999999999;4;2;2
135000;978.26859;2;1;2
176000;731.611125;3;2;2
175900;664.535159;3;2;2
187100;1512.925355;3;2;2
165500;845.510203;1;1;2
128000;585.2889;3;2;0
161500;909.52037;3;2;2
139000;1003.3524;4;2;1
233000;942.222226;4;2;2
107900;557.418;2;1;1
187500;1133.881115;5;2;2
160200;295.617346;2;2;2
146800;1052.869699;3;1;2
269790;921.59776;3;2;2
225000;850.805674;3;2;2
194500;1006.325296;3;2;2
171000;780.3851999999999;3;2;2
143500;761.525891;3;1;2
110000;713.216331;2;1;1
485000;1255.862754;4;3;3
175000;668.9016;3;1;1
200000;1188.972594;4;2;2
109900;445.9344;2;1;2
189000;761.711697;3;2;2
582933;1290.515573;4;3;3
118000;836.127;2;1;1
227680;1140.291422;3;2;2
135500;905.80425;3;2;1
223500;1986.637752;3;1;2
159950;1244.9002;3;1;2
106000;752.5143;2;2;2
181000;942.03642;3;1;2
144500;412.303514;1;1;2
55993;809.370936;2;1;2
157900;905.80425;4;1;1
116000;766.263944;3;1;1
224900;1127.563711;3;2;2
137000;1061.416775;2;1;1
271000;1232.358295;3;2;3
155000;819.032848;3;1;2
224000;591.885013;2;2;2
183000;671.317078;3;2;2
93000;557.418;2;1;2
225000;1151.439782;3;2;2
139500;919.7397;3;2;1
232600;1042.000048;3;2;2
385000;1375.243109;2;2;3
109500;569.49539;2;1;0
189000;792.369687;3;2;2
185000;2666.130294;3;2;2
147400;236.345232;2;2;2
166000;1105.5457;3;1;2
151000;295.43154;2;2;2
237000;887.037844;3;2;2
167000;929.401612;3;1;2
139950;731.611125;3;1;2
128000;891.8688;2;2;2
153500;752.5143;2;1;2
100000;156.07704;2;1;1
144000;884.901075;3;1;1
130500;1093.189601;3;1;1
140000;1129.235965;4;2;1
157500;969.90732;3;2;2
174900;837.98506;3;1;2
153900;1176.616495;4;1;3
171000;1546.556241;3;2;2
213000;865.577251;3;2;2
133500;1442.133269;3;1;1
240000;4236.3768;5;3;2
187000;891.8688;3;2;2
131500;412.024805;1;1;2
215000;296.917988;2;2;2
164000;662.212584;4;2;1
158000;1123.661785;3;1;2
170000;1664.82176;3;1;2
127000;640.751991;3;1;1
147000;1019.14591;3;1;2
174000;754.836875;3;2;2
152000;966.1912;3;2;2
250000;1024.627187;4;2;2
189950;709.964726;3;1;1
131500;1079.997375;3;1;2
152000;898.557816;3;2;2
132500;736.813693;3;1;1
250580;802.68192;3;2;2
148500;812.90125;3;1;2
248900;989.974368;3;2;3
129000;647.53391;3;1;2
169000;1371.434086;2;2;2
236000;923.270014;3;2;2
109500;613.1598;2;1;1
200500;812.90125;3;2;2
116000;826.093476;3;1;2
133000;1128.214032;3;1;1
66500;531.40516;3;1;1
303477;836.127;4;2;2
132250;2349.145258;3;1;2
350000;820.705102;4;2;3
148000;1094.583146;3;1;2
136500;650.321;3;1;1
157000;652.550672;2;1;2
187500;1278.159474;3;2;2
178000;895.213308;3;2;2
118500;576.370212;5;1;1
100000;664.25645;3;1;1
328900;475.570457;2;2;2
145000;779.734879;4;2;2
135500;1529.740798;3;1;1
268000;1473.906095;4;2;2
149500;1129.70048;2;1;2
122900;749.169792;3;1;2
172500;1039.027152;3;2;2
154500;781.685842;3;1;1
165000;1234.123452;3;1;1
118858;651.993254;4;2;2
140000;655.523568;4;1;2
106500;814.294795;2;1;1
611657;1200.213857;2;2;3
135000;649.670679;3;1;1
110000;681.90802;2;1;1
153000;809.370936;2;1;1
180000;731.611125;3;2;2
240000;1380.445677;3;2;3
125500;573.490219;3;1;1
128000;921.59776;3;1;1
255000;1254.283403;3;2;3
250000;1068.3845;3;1;1
131000;825.443155;2;1;2
174000;1169.555867;3;2;2
154300;1077.6748;5;2;2
143500;862.697258;3;1;1
88000;568.56636;3;1;1
145000;582.50181;4;2;3
173733;278.709;2;2;2
75000;185.898903;3;1;1
135000;1592.35742;3;1;1
238000;1219.351875;4;2;3
176500;1024.627187;3;1;2
201000;786.145186;3;2;2
145900;815.409631;4;2;0
169990;951.048011;3;2;2
193000;744.338836;2;2;2
207500;951.32672;3;2;2
175000;1450.308733;3;2;2
285000;1114.743097;4;2;3
176000;919.7397;4;2;2
236500;1099.785714;3;2;2
222000;1208.296418;4;2;2
201000;829.159275;3;2;3
117500;845.4173;2;1;1
320000;1084.17801;3;2;3
190000;788.467761;3;2;2
242000;2568.76795;4;2;2
79900;541.159975;1;1;2
184900;936.740949;2;2;2
253000;898.836525;3;2;2
239799;813.83028;3;2;3
244400;2238.03327;4;2;1
150900;1174.29392;4;2;2
214000;813.365765;3;2;2
150000;716.375033;4;2;0
143000;2322.575;4;2;2
137500;1335.480625;3;1;2
124900;819.40446;2;1;2
143000;758.3671889999999;3;1;1
270000;1350.438008;3;2;3
192500;1301.199418;3;2;2
197500;869.57208;3;1;2
129000;668.9016;3;1;2
119900;724.6434;3;1;1
133900;668.9016;2;1;1
172000;1028.900725;4;2;2
127500;873.2882;4;2;0
145000;662.955808;4;2;2
124000;120.7739;2;1;2
132000;689.34026;3;1;2
185000;785.03035;3;2;2
155000;238.946516;3;2;2
116500;669.551921;2;1;0
272000;1135.924981;4;2;2
155000;214.420124;3;2;2
239000;1107.682469;2;2;2
214900;1051.290348;4;2;2
178900;951.048011;3;2;2
160000;891.8688;2;1;1
135000;686.55317;3;1;1
37900;550.450275;2;1;0
140000;964.518946;2;1;1
135000;1003.3524;4;1;0
173000;210.704004;2;2;2
99500;733.190476;2;2;1
182000;1081.298017;3;2;2
167500;1060.394842;3;1;2
165000;246.285853;3;2;2
85500;548.1277;2;1;0
199900;397.067422;1;1;2
110000;877.93335;3;1;2
139000;819.032848;3;1;2
178400;1126.1701659999999;3;1;2
